GEOID,poptotal,gender_male,gender_female,age_0to4,age_5to9,age_10to14,age_15to19,age_20to24,age_25to34,age_35to44,age_45to54,age_55to59,age_60to64,age_65to74,age_75to84,age_85plus
860Z200US60540,42911,21453,21458,2343,2440,2798,3184,2756,4509,5670,5477,3721,2918,4201,2127,767
860Z200US60541,3377,1594,1783,273,281,220,192,185,474,362,395,302,243,320,88,42
860Z200US60542,18229,9085,9144,1008,1289,1077,915,907,2605,2265,3064,1358,1463,1298,730,250
860Z200US60543,39625,19185,20440,2446,2864,3144,3028,2221,4034,5929,6091,3059,2027,2800,1493,489
860Z200US60544,27606,13104,14502,1526,1792,2336,1754,1368,3332,3636,3591,1724,1227,2451,2010,859
860Z200US60545,13468,6774,6694,1293,1406,494,603,662,2297,1637,2262,527,534,1141,368,244
860Z200US60546,16728,8251,8477,614,1223,1318,1196,866,1510,2058,2118,1450,1269,1794,706,606
860Z200US60548,12149,6320,5829,731,724,782,779,1397,1067,1573,1342,627,867,1401,643,216
860Z200US60549,594,334,260,13,89,16,93,48,55,63,71,37,55,24,26,4
860Z200US60550,1120,556,564,39,13,77,54,87,96,62,161,105,83,170,91,82
860Z200US60551,5125,3577,1548,125,202,257,119,390,1116,848,826,404,253,396,175,14
860Z200US60552,4286,2099,2187,282,359,309,319,133,371,636,559,297,326,423,193,79
860Z200US60553,688,361,327,55,45,44,36,30,100,60,106,64,53,52,36,7
